LOGRADOURO,LOT./CON,NOME DO LOTEAMENTO/BAIRRO/CONDOMINIO,UBS DE REFERENCIA,CEP
RUA ERNESTO PONCHIO,,,UBS JUREMA,13272462
RUA 4 (BEIRA RIO),,,UBS JUREMA,13272467
RUA OSVALDO ORMENESE,,,UBS JUREMA,13272497
RUA HELIO EMILIO BORTOLOZZO,,,UBS JUREMA,13272496
RUA AVELINO CAPELLATO,,,UBS JUREMA,13272493
RUA ANTENOR LINO,,,UBS JUREMA,13272492
RUA FAUSTO COCCO,,,UBS JUREMA,13272495
RUA BENEDITO CREACE,,,UBS JUREMA,13272494
RUA ELSO PREVITALE,,,UBS JUREMA,13272300
RUA ANTONIO PARIZANI,,,UBS JUREMA,13272456
RUA MIGUEL BUSATO,,,UBS JUREMA,13272460
RUA ANTONIO DE C. PRADO NETO,,,UBS JUREMA,13272311
RUA 01 (VILA VITORIA),,,UBS JUREMA,13272717
RUA JOÃO LOURENÇATTO,,,UBS JUREMA,13272475
AUTO ESTR. FRANCISCO VON ZUBEN,,,UBS JUREMA,13271743
RUA BENEDICTO CAMPOS,,,UBS JUREMA,13272512
RUA WILTON PECANHA,,,UBS JUREMA,13272503
RUA REGINA GALDIN TONON,,,UBS JUREMA,13272702
RUA JOSÉ AVANCI,,,UBS JUREMA,13272306
RUA WALDOMIRO AMARAL,,,UBS JUREMA,13272310
RUA ARTUR LUGLI,,,UBS JUREMA,13272301
RUA VERGINIA FRANCATO SCAPIN,,,UBS JUREMA,13272430
RUA LUIZ ZANIVAN FILHO,,,UBS JUREMA,13272450
RUA VICENTE ANGELO BISSOTO,,,UBS JUREMA,13272453
RUA ANGELO POZZUTO,,,UBS JUREMA,13272471
RUA ERNÉLIO TÁSSI,,,UBS JUREMA,13272524
RUA ERNÉLIO TASSI,,,UBS JUREMA,13272524
RUA JOSÉ DE SALLES PUPO,,,UBS JUREMA,13272473
RUA CATHARINA ANDRIETTA MARCON,,,UBS JUREMA,13272459
RUA LUIZ BORIN,,,UBS JUREMA,13272472
RUA ANTONIO DE SALLES PUPO,,,UBS JUREMA,13272360
RUA NARCISO BONON,,,UBS JUREMA,13270291
RUA JOAO BATISTA VON ZUBEN,,,UBS JUREMA,13271784
AVENIDA LUIZ BASSETTO,,,UBS JUREMA,13271773
RUA ELVINO SILVA,,,UBS JUREMA,13271781
RUA LUIZ VAZ DE CAMÕES,,,UBS JUREMA,13271783
RUA LUIZ CAETANO,,,UBS JUREMA,13271785
ALAMEDA BERNA,,,UBS JUREMA,13271795
RUA JOAO MARQUES DA COSTA,,,UBS JUREMA,13271780
RUA DOS CEDROS,,,UBS JUREMA,13272552
RUA OSVALDO PUCCI,,,UBS JUREMA,13272513
RUA MANOEL AUGUSTO,,,UBS JUREMA,13272511
RUA GENOVEVA GABETTA BRACALENTE,,,UBS JUREMA,13272502
RUA MANOEL DOS SANTOS MARTA,,,UBS JUREMA,13272580
RUA DAS ARUEIRAS,,,UBS JUREMA,13272553
AVENIDA DOM CARLOS CARMELO VASCONCELLOS MOTTA,,,UBS JUREMA,13272363
RUA KAMEKICHI OHNUMA,,,UBS JUREMA,13272364
RUA SANTO MILANEZE,,,UBS JUREMA,13272474
RUA LUIZ GIOPATO FILHO,,,UBS JUREMA,13272583
RUA RICARDO MARIA,,,UBS JUREMA,13272428
RUA JOSÉ JESUS PARNAYBA,,,UBS JUREMA,13272426
RUA FERDINANDO BORIN,,,UBS JUREMA,13272100
RUA ISMAEL EVANGELISTA,,,UBS JUREMA,13272114
RUA ANTONIO FREDERICO OZANAN,,,UBS JUREMA,13272404
RUA FREDERICO POLIDORO,,,UBS JUREMA,13272405
RUA SILVIO ALCANTARA,,,UBS JUREMA,13272455
RUA WILSON ROBERTO SOLINSKI,,,UBS JUREMA,13272480
RUA GUERINO ANGELI,,,UBS JUREMA,13272373
RUA HUMBERTO FREDIANI,,,UBS JUREMA,13272370
RUA CARLOS GABETTA,,,UBS JUREMA,13272476
RUA CRISTINA MONTANARI ROVERE,,,UBS JUREMA,13271380
RUA PEDRO FAVRIN,,,UBS JUREMA,13272452
RUA JOSÉ DA ROCHA MARTINS,,,UBS JUREMA,13272424
RUA JOSE CARLOS CACEFFO,,,UBS JUREMA,13272422
RUA BRASILIANO PREVITALE,,,UBS JUREMA,13272403
RUA DOMINGOS DI SALVI,,,UBS JUREMA,13272420
RUA ANTONIO CARLOS RUSSO,,,UBS JUREMA,13272362
RUA CLAUDINO PEREIRA,,,UBS JUREMA,13272361
RUA CARLOS GOMES,,,UBS JUREMA,13271050
RUA LÚCIO UNGARETTI,,,UBS JUREMA,13272532
RUA DAS PRIMAVERAS,,,UBS JUREMA,13272555
RUA DOS JATOBÁS,,,UBS JUREMA,13272554
RUA CUNHA BUENO,,,UBS JUREMA,13271789
ALAMEDA BASILÉIA,,,UBS JUREMA,13271793
ALAMEDA GENEBRA,,,UBS JUREMA,13271794
RUA PRF JOSE LEME DO PRADO,,,UBS JUREMA,13271750
RUA B,,,UBS JUREMA,13271741
RUA MARIO AUGUSTO,,,UBS JUREMA,13272113
ESTRADA MUNICIPAL DO RONCÁGLIA,,,UBS JUREMA,13272721
RUA DOS IPÊS,,,UBS JUREMA,13272561
RUA OLIVIA BRUNELLI DE GASPARI,,,UBS JUREMA,13272402
RUA DAS BAUHINIAS,,,UBS JUREMA,13272551
RUA JOSÉ TURCHETTI,,,UBS JUREMA,13272585
RUA VIA VENETO,,,UBS JUREMA,
RUA GELINDO V. DONADELI,,,UBS JUREMA,13272461
RUA HELENA PEDRAL MARIA,,,UBS JUREMA,13272302
RUA JOÃO ROCHA,,,UBS JUREMA,13272305
RUA JOSE TOSELLI,,,UBS JUREMA,13272304
RUA MARCILIO LONA,,,UBS JUREMA,13272715
RUA IRMA MARIA DAS DORES DE JESUS,,,UBS JUREMA,13272722
RUA SANT' ANA,,,UBS JUREMA,13272727
RUA ANTONIO CUSTÓDIO DA SILVA,,,UBS JUREMA,
RODOVIA JOSÉ ROBERTO MAGALHÃES TEIXEIRA,,,UBS JUREMA,13271788
RUA JULIANA CRISTINA DA SILVA,,,UBS JUREMA,
RUA VEREADOR SERAFIM RAFAEL MORELLI,,,UBS JUREMA,13272609
ALAMEDA SION,,,UBS JUREMA,13271791
RUA ANA FACHINELLI FABRINI,,,UBS JUREMA,13272454
RUA DR. AGUINELO CUNHA,,,UBS JUREMA,
RUA ARMANDO GOBATTO,,,UBS JUREMA,
RUA ORLANDO SIGNORETO,,,UBS JUREMA,
RUA IZAURA AUGUSTO BERNARDIS,,,UBS JUREMA,13272607
RUA ROBERTO MATTEELLI,,,UBS JUREMA,
RUA FRANCISCO ALVES DA SILVA,,,UBS JUREMA,
RUA VALERIA LEHEN ROPELLE,,,UBS JUREMA,
RUA PROFª MARIA TREVIZAN,,,UBS JUREMA,13272608
RUA FRANCISCO FERREIRA,,,UBS JUREMA,
RUA LUIZ CARLOS DELLA NEGRA,,,UBS JUREMA,
RUA RICARDO ANGELI - RICO,,,UBS JUREMA,13272466
RUA DR. MAURO PEREIRA DA SILVA,,,UBS JUREMA,13272593
RUA 2 (JD. NOVO MILÊNIO),,,UBS JUREMA,13272611
RUA ANTÔNIO MANALLI,,,UBS JUREMA,13272464
RUA ÉLIDA DULCELINA CASSOLI ZAMPRONI,,,UBS JUREMA,13272465
RUA IRMÃ MARIANA FIGUEIREDO,,,UBS JUREMA,13272725
RUA IRMA VERONICA MARIA DA CRUZ MARTINS,,,UBS JUREMA,13272726
RUA IRMÃ LÁZARA FIORINI,,,UBS JUREMA,13272730
THEREZA MARCI CONSTANTINO BELLINI,,,UBS JUREMA,
RUA JOSE RONCAGLIA,,,UBS JUREMA,13272713
RUA ANTONIO BETIM,,,UBS JUREMA,13272501
RUA MONSENHOR MANUEL CORREA DE MACEDO,,,UBS JUREMA,13272723
RUA SÃO VICENTE DE PAULO,,,UBS JUREMA,13272410
RUA 3 (RECANTO DAS ÁGUAS),,,UBS JUREMA,13272612
RUA 1 (RECANTO DAS ÁGUAS),,,UBS JUREMA,13272717
RUA 2 (RECANTO DAS ÁGUAS),,,UBS JUREMA,13272611
RUA 4 (RECANTO DAS ÁGUAS),,,UBS JUREMA,13272467
VIADUTO FAUSTO FERREIRA DOS SANTOS FILHO,,,UBS JUREMA,
RUA PÉRSIO DE PAIVA,,,UBS JUREMA,13271774
RUA FLÁVIA MICHELETTO,,,UBS JUREMA,
AVENIDA ONZE DE AGOSTO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270190
RODOVIA VISCONDE DE PORTO SEGURO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278000
AVENIDA INVERNADA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271450
AVENIDA JOAQUIM ALVES CORREA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270400
RUA JOSÉ PISCIOTTA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270300
RUA AMÉRICO CONTE,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270292
RUA ELIZABETH G. P. ZAMPELLI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
RUA PEDRO LEARDINI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271651
RUA JOSÉ ALCIDES CEZAR GROPPO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278133
ALAMEDA FLAVIA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278180
RUA PROF. MIGUEL DO PRADO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278317
ALAMEDA TENENTE BELMIRO FOGAGNOLI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278303
ALAMEDA ITATUBA (SIT.R.CAFEZAIS),LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278208
RUA ANTONIO GILBERTO ANSELMI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278322
RUA RINO GHIRALDELLO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
RUA JULIO TASSI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
RUA ALBERTO MAZIERO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278315
ALAMEDA ITAOCA (SIT.R.CAFEZAIS),LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278450
RUA JOSÉ DE OLIVEIRA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271653
ALAMEDA PERCILIO BORTOLOZO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278400
RUA DOS TANGARAS,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271601
RUA DOS CANÁRIOS,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271605
RUA DAS GAIVOTAS,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271603
AVENIDA CUSTÓDIO DO SANTOS PEREIRA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278144
RUA ANTONIO TÓFFOLI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270310
RUA LUIZ SPIANDORELLI NETO (LULA),LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271570
ALAMEDA CARLOS (ICO) BARDUCHI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278170
RUA BRIAN ROBERTO FERRAZ,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278002
RUA FIORAVANTE BASILIO MAGLIO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271260
ALAMEDA MARIA TEREZA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278181
RUA EUNICE APARECIDA BARONI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278050
RUA JOÃO PIERA AGOSTINHO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278030
RUA AMELIA FERRARI BISSOTO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271623
RUA SYLVIO BENATTI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271619
RUA TERCILIO TORDIN,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271621
RUA VIA CREMONA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
RUA NARCIZO ANGELI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278353
RUA EMÍLIO ROMANETTI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278352
RUA IZABEL DE ABREU PINHEIRO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278324
RUA JOSE CARVALHO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278350
ALAMEDA ALDO MARINI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278407
RUA VITORIO CAPELATTO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13277120
RUA GELSON BRUNO DI FALCO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271340
RUA CARLOS COSTATO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270295
RUA ANTONIO ANGARTHEN,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271270
RUA GERVASIO JOSE MARCHIORI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271300
ALAMEDA ITAHIM CH. JOAPIRANGA II,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
ALAMEDA ITAJUBÁ,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278530
RUA LUIZ ANTONIO CASTELLUBER,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278202
RUA ANTONIO CAETANO BALDIN,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
RUA ANTONIO NEGRELLO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13277151
RUA REYNALDO TRIVELLATO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13277165
RUA DR. ERALDO AURÉLIO FRANZESE,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271608
RUA VICTOR ZANOTELLO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271609
AVENIDA INDEPENDÊNCIA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13276030
RUA MUNICÍPIO DE POLONI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13277163
RUA ALTINO GUAIUMI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13277122
RUA MIGUEL SPERANZA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13277123
RUA ANTÔNIO JOSÉ ZANOTELO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271580
RUA GUILHERME MAMPRIM,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13274450
RUA GERALDO DE GASPERI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278085
VIA VENEZA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278220
VIA APPIA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278270
RUA PICADILY,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278280
RUA NILO TORDIN,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278141
VIA ROMANA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278282
RUA DA PAZ,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278241
RUA RIVOLI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278242
RUA ROYALE,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278240
ALAMEDA ALTINO CRUZ,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
AVENIDA BRASILIS,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278243
AVENIDA DR JOSE PAGANO BRUNDO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13277210
ALAMEDA MONTAGNE,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278252
RUA JOSE BETTI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271560
RUA DR. HELES PINHEIRO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271555
RUA DR. ADALBERTO TURINI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271607
RUA ANTONIO VICENTIN,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
RUA GUERINO FIORIN,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270680
RUA DOM JOAO VI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13277040
RUA DR ADHEMAR DE BARROS,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270600
RUA HARRISON G. HULL JUNIOR,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270670
AVENIDA DOS ESPORTES - LADO A,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270210
RUA IGNACIO SPADACCIA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270520
RUA JOSÉ DE ALENCAR,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270350
RUA FRANCISCO GLICERIO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271200
RUA ULYSSES PEDROSO DE OLIVEIRA FILHO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270393
RUA JOSÉ VON ZUBEN,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270510
RUA VICENTE ROSSI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270460
RUA ANGELO ANTONIO SCHIAVINATO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270470
RUA GUILHERME OLIVO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270710
RUA PAIQUERE,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271600
RUA LUIZ ANTONIAZZI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270620
RUA JOAO TORDIN,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270720
RUA ANTONIO MOLETA FILHO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270700
RUA GERALDO CAPOVILLA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270690
RUA DR FERNANDO LEITE FERRAZ,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270640
RUA AURELIO VILELA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270610
AVENIDA DOS ESPORTES - LADO B,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270210
RUA CAMPINAS,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13276065
RUA UBALDO PINTO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270630
RUA DR ARMANDO COSTA MAGALHÃES,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270490
RUA ANGELO BRUSCHI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13277161
RUA ANTONIO CASEMIRO AMGARTEN,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271577
RUA MARCELO TURINI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270650
RUA MARLENE PIATO CONTE,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270540
RUA ANÉSIO BERNARDI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270560
RUA IRIO GIARDELLI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271565
RUA EDUARDO MARTINI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270570
RUA FRANCISCO VON ZUBEN,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270480
RUA ARTHUR FERNANDES QUERIDO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13270530
RUA COELHO NETO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13276075
RUA JULIO BROCANELLI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278316
RUA TORTOLINA DE MOURA CACIATO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278313
ALAMEDA ANTONIO MIORIN,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278418
ALAMEDA CAIRU,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278401
ALAMEDA AMABILE ANDREOLI PONTES,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278402
RUA DR. JOÃO MENDES JUNIOR,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278403
ALAMEDA DORACY EDNA BARROS,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278415
RUA NILZA APPARECIDA FERREIRAFALSARELLA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
ALAMEDA JOSE COMUNE FILHO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278417
ALAMEDA ANTONIO GUAIUME FILHO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278416
RUA GERALDO GONÇALVES DE ABREU,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278358
RUA ELYDIO ANTONIO MOLETTA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278357
RUA MARGINAL V. ITAMARACA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
RUA BAZILIO GALLEGO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271617
RUA MARIA HELENA GASPARINI LANDO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278302
RUA MARTINHO LEARDINE,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271650
RUA AUGUSTO SILVEIRA DE ALMEIDA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271615
RUA DAS ARARAS,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271606
RUA ENG. PAULO DE CAMPOS FESSEL,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278209
RUA DAS COTOVIAS,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271604
ALAMEDA ITATINGA C. JOAPIRANGA II,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
RUA DOS JURUTIS,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13271602
ALAMEDA ITAIPAVA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278460
RUA ARMANDO CORVINI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278364
ALAMEDA MARIO DE OLIVEIRA SOUZA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278404
ALAMEDA JACYNTO LOPES,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278413
ALAMEDA CELSO TORSANI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278414
ALAMEDA PEDRO FAVERO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278405
ALAMEDA ANTONIO TORSANI SALIM,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278408
ALAMEDA FIORINDO ZANELLA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278410
ALAMEDA JOSÉ PINTO DA SILVA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278406
RUA NEIDE MADIA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278354
RUA FLORINDA MARTINUCCI ROMANETTI,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
ALAMEDA ITAIPU CH. JOAPIRANGA II,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
RODOVIA ANHANGUERA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278600
OLIVIO (IVO) CALSAVARA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
ALAMEDA ITATUBA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278208
RUA JOÃO SOLAR,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278190
RUA VIA MILANO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
RUA VIA MONZA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
RUA VIA BERGAMO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,
RUA SILVIO GRACIANO CONCON,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278205
RUA VIA VESCOVATO,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278607
RUA FRANCISCO PEDRAL SANTANA,LOTEAMENTO,CHÁCARAS SÃO BENTO,UBS VILA ITÁLIA,13278061
